LANGUAGE=ESPERANTO
¡oh;oh
soni;sound *sonner (fr)
sonorilo;bell *soni = sound
sovaĝa;wild, savage
spaco;area, space
ŝpari;save, spare
speciala;special
spektaklo;show *spectate
spekti;watch *spectate
sperto;experience *remember sporto = sport, sperto = experience
stacidomo;station *staci (station) + domo (house)
ŝtalo;steel
stari;stand
staris;stood
ŝtata;state
stelo;star *remember ŝtalo = steel
ŝtono;stone
stranga;strange
strato;street *remember rekta = straight, strato = street
studo;study
sub;under
subita;sudden
subjekto;subject
substanco;substance
substantivo;noun *substance
subteno;support *sub (under) + teni (hold) + o
subtrahi;subtract *SUBTRAKHI
sude;south
sufiĉa;enough, sufficient
sufikso;suffix
sugesti;suggest
sukceso;success
sukero;sugar *(supposedly) suko (juice) + ero (particle of)
ŝultro;shoulder
suno;sun
ŝuo;shoe
super;over *remember super = over, supre = above, supro = top
supozi;pose, assume
supre;above *remember super = over, supre = above, supro = top
supren;up *supre = above
supreniri;rise *supre (above) + n + iri (to go)
supro;top *remember super = over, supre = above, supro = top
sur;on
surfaco;surface
surhavi;wear *sur (on) + havi (to have)
surprizo;surprise
surŝipe;on board, board *sur + ŝipo (ship) + e
tablo;table
tagmezo;noon *tag (day) + mezo (middle)
tagon;day *tag (de)
taŭga;proper *taŭgi = to be fit, 'wear your toga the proper way'
teamo;team
telfero;lift, elevator
temperaturo;temperature
tempo;time
tendaro;camp *tendo (tent) + aro (collective)
teni;hold
tenis;held *teni (hold) + is
termino;term *remember fino = end
tero;earth, ground *terre (fr)
testo;test
tiaj;such
tiam;then *ti + am (time suffix)
tie;there *remember tie = there, tiel = so, tiele = thus, tien = here
tiel;so *remember tie = there, tiel = so, tiele = thus, tien = here
tiele;thus *remember tie = there, tiel = so, tiele = thus, tien = here
tien;here *remember tie = there, tiel = so, tiele = thus, tien = here
timis;afraid *timid
timo;fear *timid
tipo;type
tiri;pull *tirer (fr)
tiu;this
tiuj;these, those *tiu (this) + j
tonalto;pitch *tone
tono;tone
trajno;train
tranĉo;cut *trench
trankvila;quiet *tranquil
transiri;cross *transit
tre;very *tres (fr)
tri;three
triangulo;triangle
trinkaĵon;drink
trinkejo;bar *trink + ejo
triono;third *tri + ono
tro;too *trop (fr)
trovi;find *trouver (fr)
trovita;found
truo;hole *trou (fr)
tubo;tube *remember kuvo = tub
tuŝi;touch
tute;quite
unu;one
unua;first *unu (one) + a
unufoje;once *unu (one) + foje
unuo;unit *unu (one) + o
urbo;city, town
uzo;use
valo;valley *valo = valley, valoro = value
valoro;value *valo = valley, valoro = value
vaporo;steam *vapour
varios;vary
varma;warm
varmega;hot *varm (warm) + eg (augmented) + a
varmo;heat, warmth
velo;sail
vendejo;store
vendi;sell *vendre (fr), vendor
venis;came
venki;beat, win
venko;win *venki = to beat
vento;wind *vent (fr)
ventumilo;fan *ventumi (fan, vento = wind) + ilo (tool)
venu;come *venir (fr) + u (conditional/imperative)
vera;true
verbo;verb
verda;green
vespero;evening *vesperto = bat
vesperto;bat *vespero = evening
vestu;clothe
vetero;weather
vi;you *vous (fr)
via;your
viando;meat *viande (fr)
vico;row, queue, line, file, rank, position, turn *'Very Inclined Column Orientation'
vidi;see
vido;sight, view *vidi = see
vilaĝo;village
vintro;winter
virino;woman *viro (man) + ino
virinoj;women *viro (man) + ino + j
viro;man
viroj;men *viro (man) + j
vitro;glass *in vitro
vivi;live *i is verb
vivo;life *o is noun
vizaĝo;face *visage (fr)
vizito;visit
voĉo;voice
vojaĝado;travel
vojaĝo;trip, voyage
vojo;path, road, way
vokalo;vowel
volas;want
volo;will *valo = valley, volo = will
vortaro;dictionary *lit. word collection
vorto;word
vosto;tail
