LANGUAGE=FRENCH
acheter à;to buy from
regarder;to look at, to watch someone doing
reprocher à quelqu'un de faire quelque chose;to reproach someone for something 
sentir;to smell of, to feel, to feel someone doing
soigner;to take care of, to treat
subir;to be subjected to
voir;to see, to see someone doing
vouloir;to want, to want to
adorer;to love to
aimer;to like to
aller;to go, to be going to
avoir beau;despite doing, however much one does
compter;to expect, intend to
critiquer;to criticise, to criticize, to find fault, to analyse
croire (as in person or fact);to believe *no prep = fact, à = existence, en = trust/faith in
daigner;to deign, condescend to
désirer;to desire to
détester;to detest doing, to hate doing
devoir;must, to have to, be obliged to
entendre;to hear
espérer;to hope to
être censé;to be supposed to
faillir;to almost do something
faire faire quelque chose à quelqu'un;to make someone do something
falloir;to be necessary to
se figurer;to imagine doing, to picture doing
s'imaginer;to imagine doing
laisser;to let, to allow someone to do, to let someone to do
nier;to deny doing
oser;to dare to
paraître;to appear to
penser x (where x is infinitive);to plan on x, to intend to x *no prep = intend, à = think about, de = have opinion of
pouvoir;to be able to
prétendre x (where x is infinitive);to claim to x
savoir;to know how to
sembler;to seem to
souhaiter;to wish to
valoir mieux;to be preferable to, to be better to
